I, [2017-01-08T20:51:34.994248 #62115]  INFO -- Kitchen: -----> Starting Kitchen (v1.14.2)
E, [2017-01-08T20:51:34.994686 #62115] ERROR -- Kitchen: ------Exception-------
E, [2017-01-08T20:51:34.994728 #62115] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-01-08T20:51:34.994754 #62115] ERROR -- Kitchen: Message: Kitchen YAML file /Users/lawrencejones/Projects/kitchen-encrypt-databags/.kitchen.yml does not exist.
E, [2017-01-08T20:51:34.994775 #62115] ERROR -- Kitchen: ----------------------
E, [2017-01-08T20:51:34.994794 #62115] ERROR -- Kitchen: ------Backtrace-------
E, [2017-01-08T20:51:34.994814 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-01-08T20:51:34.994835 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:152:in `data'
E, [2017-01-08T20:51:34.994876 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:131:in `suites'
E, [2017-01-08T20:51:34.994895 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-01-08T20:51:34.994913 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-01-08T20:51:34.994932 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:117:in `instances'
E, [2017-01-08T20:51:34.994950 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-01-08T20:51:34.994967 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-01-08T20:51:34.994986 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-01-08T20:51:34.995005 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-01-08T20:51:34.995024 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/test.rb:38:in `call'
E, [2017-01-08T20:51:34.995044 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:53:in `perform'
E, [2017-01-08T20:51:34.995061 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:234:in `test'
E, [2017-01-08T20:51:34.995079 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-01-08T20:51:34.995096 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-01-08T20:51:34.995114 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-01-08T20:51:34.995131 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-01-08T20:51:34.995149 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-01-08T20:51:34.995166 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-01-08T20:51:34.995183 #62115] ERROR -- Kitchen: /Users/lawrencejones/.rbenv/versions/2.3.1/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
